last_name,first_name,party,state,filing_year,link
Granger,Kay,R,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057021.pdf
Grassley,Chuck,R,IA,2024,https://efdsearch.senate.gov/search/view/annual/2f0bcbce-b93f-44f0-b1cf-4380419ce0af/
Graves,Garret,R,LA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059697.pdf
Graves,Sam,R,MO,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061251.pdf
Green,Al,D,TX,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060574.pdf
Green,Mark E.,R,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061193.pdf
Greene,Marjorie Taylor,R,GA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057355.pdf
Griffith,H. Morgan,R,VA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059696.pdf
Grijalva,Raúl M.,D,AZ,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059510.pdf
Grothman,Glenn,R,WI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060079.pdf
Guest,Michael,R,MS,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220573.pdf
Guthrie,Brett,R,KY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220485.pdf
Hageman,Harriet M.,R,WY,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059540.pdf
Hagerty,Bill,R,TN,2024,https://efdsearch.senate.gov/search/view/annual/03b313b5-2492-4264-8fa0-2f14bbafde77/
Harder,Josh,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058971.pdf
Harris,Andy,R,MD,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10062677.pdf
Harshbarger,Diana,R,TN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/8220574.pdf
Hassan,Margaret Wood,D,NH,2024,https://efdsearch.senate.gov/search/view/annual/32481311-3b9a-4ad3-be14-520c173cf5e3/
Hawley,Josh,R,MO,2024,https://efdsearch.senate.gov/search/view/annual/b5927b5e-a907-4e99-9ad4-957f0e2bceb3/
Hayes,Jahana,D,CT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059686.pdf
Heinrich,Martin,D,NM,2024,https://efdsearch.senate.gov/search/view/annual/ea129bbd-77b9-47a0-aeb9-f5faa5158934/
Hern,Kevin,R,OK,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060913.pdf
Hickenlooper,John W.,D,CO,2024,https://efdsearch.senate.gov/search/view/annual/5f667aa1-b9ab-4fe2-bced-c43f4f103c48/
Higgins,Clay,R,LA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057485.pdf
Hill,J. French,R,AR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10059437.pdf
Himes,James A.,D,CT,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061258.pdf
Arenholz,Ashley,R,IA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10057096.pdf
Hirono,Mazie K.,D,HI,2024,https://efdsearch.senate.gov/search/view/annual/16dad072-2ce0-4bc8-ad36-c51aca7ec2fb/
Hoeven,John,R,ND,2024,https://efdsearch.senate.gov/search/view/annual/c1569647-99b6-40c2-be51-97c8d800d9e6/
Horsford,Steven,D,NV,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10061279.pdf
Houchin,Erin,R,IN,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058925.pdf
Houlahan,Chrissy,D,PA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060595.pdf
Hoyer,Steny H.,D,MD,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060360.pdf
Hoyle,Val T.,D,OR,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10058978.pdf
Hudson,Richard,R,NC,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060006.pdf
Huffman,Jared,D,CA,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060152.pdf
Huizenga,Bill,R,MI,2023,https://disclosures-clerk.house.gov/public_disc/financial-pdfs/2023/10060544.pdf
