5.2.6,Vanguard S&P 500 ETF (VOO),Mutual FundsExchange Traded Fund/Note,Spouse,"$500,001 - $1,000,000",Excepted Investment Fund,"$5,001 - $15,000"
5.2.7,Vanguard Small-Cap Index Fund ETF Shares (VB),Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000",Excepted Investment Fund,"$5,001 - $15,000"
5.2.8,IGLB - iShares 10  Year Investment Grade Corporate Bond E,Mutual FundsExchange Traded Fund/Note,Spouse,"$250,001 - $500,000",Excepted Investment Fund,"$5,001 - $15,000"
5.3,"RIFI LLCCompany: RIFI LLC (Wilmington, DE) Description: Holding company",Business EntityLimited Liability Company (LLC),Spouse,--,,
5.3.1,SCHW - The Charles Schwab Corp,Corporate SecuritiesStock,Spouse,"Over $1,000,000 and held independently by spouse or dependent child",Dividends,"$50,001 - $100,000"
5.3.2,"UBS Bank(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Spouse,"Over $1,000,000 and held independently by spouse or dependent child",Interest,"$50,001 - $100,000"
5.3.3,"Note receivable from JPR Spc TrustCompany: JPR Spc Trust (Wilmington, DE)",Accounts ReceivableFrom a Business,Spouse,"Over $1,000,000 and held independently by spouse or dependent child",Interest,"$100,001 - $1,000,000"
6,Non-Exempt Trust AFiler comment:  Asset valuation reflects reportable portion; transaction reports not required due to indirect trust,TrustGeneral Trust,Joint,--,,
6.1,UBS Account 2,Brokerage/Managed Account,Joint,--,,
6.1.1,"UBS Bank(New York, NY)Type: Brokerage Sweep Account, Savings",Bank Deposit,Joint,"$500,001 - $1,000,000",Interest,"$15,001 - $50,000"
6.1.2,IEFA - iShares Core MSCI EAFE ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$50,001 - $100,000"
6.1.3,IEMG - iShares Core MSCI Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$500,001 - $1,000,000",Excepted Investment Fund,"$15,001 - $50,000"
6.1.4,IVV - iShares Core S&P 500 ETF,Mutual FundsExchange Traded Fund/Note,Joint,"$1,000,001 - $5,000,000",Excepted Investment Fund,"$15,001 - $50,000"
6.1.5,Citigroup Inc. PerpetualRate/Coupon: 7.125%  Matures: 11/15/2073,Corporate SecuritiesCorporate Bond,Joint,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
6.1.6,Fifth Third Bancorp PerpetualRate/Coupon: 4.5%  Matures: 07/30/2069,Corporate SecuritiesCorporate Bond,Joint,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
6.1.7,Wells Fargo PerpetualRate/Coupon: 3.9%  Matures: 01/26/2069,Corporate SecuritiesCorporate Bond,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
6.2,JP Morgan Brokerage,Brokerage/Managed Account,Joint,--,,
6.2.1,BSIIX - Blackrock Strategic Income Opportunities Portfol,Mutual FundsMutual Fund,Joint,"$50,001 - $100,000",Excepted Investment Fund,"$2,501 - $5,000"
6.2.2,DMCRX - Driehaus Micro Cap Growth Fund,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000",Excepted Investment Fund,"$15,001 - $50,000"
6.2.3,PMFLX - Pimco Flexible Municipal Income Fund Institution,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$15,001 - $50,000"
6.2.4,RMBMX - Rmb Smid Cap Fund Class I,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000",Excepted Investment Fund,"$15,001 - $50,000"
6.2.5,"JP Morgan(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Joint,"$100,001 - $250,000",Interest,"$5,001 - $15,000"
6.3,JP Morgan Brokerage Acct 2,Brokerage/Managed Account,Joint,--,,
6.3.1,Citigroup Inc. PerpetualRate/Coupon: 4.7%  Matures: 12/31/2049Filer comment:  Income treated as dividends due to derivative nature of asset - asset called,Corporate SecuritiesCorporate Bond,Joint,"None (or less than $1,001)",Dividends,"$201 - $1,000"
6.3.2,Goldman Sachs Group PerpetualRate/Coupon: 4.95%  Matures: 12/31/2049Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"$50,001 - $100,000",Dividends,"$2,501 - $5,000"
6.3.3,Goldman Sachs Group PerpetualRate/Coupon: 7.5%  Matures: 04/23/2173Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"$100,001 - $250,000",Dividends,"$5,001 - $15,000"
6.3.4,Bank of America PerpetualRate/Coupon: 6.25%  Matures: 07/24/2174Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"$50,001 - $100,000",Dividends,"$1,001 - $2,500"
6.3.5,Citigroup Inc. PerpetualRate/Coupon: 6.95%  Matures: 02/12/2049Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"$50,001 - $100,000",Dividends,"$1,001 - $2,500"
6.3.6,Citigroup Inc. PerpetualRate/Coupon: 7.20%  Matures: 03/06/2173Filer comment:  Income treated as dividends due to derivative nature of asset,Corporate SecuritiesCorporate Bond,Joint,"$50,001 - $100,000",Dividends,"$5,001 - $15,000"
6.4,UBS Account 8,Brokerage/Managed Account,Joint,--,,
6.4.1,SCHW - Charles Schwab Corporation (The) Common Stock,Corporate SecuritiesStock,Joint,"$5,000,001 - $25,000,000","Dividends, Capital Gains","$1,000,001 - $5,000,000"
6.4.2,"UBS Bank(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Joint,"$1,000,001 - $5,000,000",Interest,"$15,001 - $50,000"
6.4.3,SCHW - Charles Schwab Corporation (The) Common StockStrike price: $91.50 | CallExpires: 08/01/2025,Corporate SecuritiesStock Option,Joint,"None (or less than $1,001)",Capital Gains,"$50,001 - $100,000"
6.5,UBS Account 3,Brokerage/Managed Account,Joint,--,,
6.5.1,"UBS Bank(New York, NY)Type: Brokerage Sweep Account, Savings",Bank Deposit,Joint,"$100,001 - $250,000",Interest,"$5,001 - $15,000"
6.6,Bank of America - Nuveen Muni Account,Brokerage/Managed Account,Joint,--,,
6.6.1,Cooper Green Mercy Health Svcs Auth AL Revenue BondRate/Coupon: 5.0%  Matures: 09/01/2038,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000",Interest,"$1,001 - $2,500"
6.6.2,"Bank of America(New York, NY)Type: Brokerage Sweep Account",Bank Deposit,Joint,"$100,001 - $250,000",Interest,"$5,001 - $15,000"
6.6.3,Douglas County Neb Hosp Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/15/2035,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
6.6.4,Douglas County Neb Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 12/1/2039,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
6.6.5,Georgia St General Obligation BondRate/Coupon: 4.503%  Matures: 11/01/2025,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$201 - $1,000"
6.6.6,Greater Asheville NC Regl Arpt Auth Revenue BoneRate/Coupon: 5.25%  Matures: 07/01/2038,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
6.6.7,Indiana Fin Auth Health Sys Revenue BondRate/Coupon: 2.25%  Matures: 12/01/2058,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
6.6.8,Madison AL General Obligation BondRate/Coupon: 5.0%  Matures: 12/01/2034,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
